Crude,Sulphur (%),API,Production (b/d),Conversion Factor (barrels to mt),Country,Location,Region,Terminal,Operator,Assay Date,Notes,Block,Pour Point °C,Tan (mgKOH/g),Butane and Lighter,Lt. Naphtha,Hvy Naphtha,Kerosene,Diesel,Vacuum Gas oil,Vacuum Residue
Agbami,0.04,47.88,270000,7.98,Nigeria,Offshore,West Africa,Agbami Field,Chevron,,,216,5,0.07,14.7,19,14.3,15.1,30.1,5.2,1.6
AKPO BLEND,0.065,46.7,,,Nigeria,,Africa,,,22/10/2020 00:00,https://ts.totalenergies.com/business-customers/crude-assays/,,-6.1,0.08,,,,,,,
AL JURF,1.84,30.4894212,,,Libya,,Africa,,Mabruk,28/02/2011 00:00,https://ts.totalenergies.com/business-customers/crude-assays/,,  +6/-9,0.05,,,,,,,
AL SHAHEEN,2.3,29,,,Qatar,Offshore,Asia,,Total,25/02/2016 00:00,https://ts.totalenergies.com/business-customers/crude-assays/,,-21.2,0.13,,,,,,,
Alaska North Slope (ANS),1.04,29.5,50000,,USA,,North America,,,,,,,0,,,,,,,
Albacora Leste,0.602,19,110000,,Brazil,Campos Basin,South America,FPSO P 50,Petrobras,,,BM-C-33,-33,2.39,0.04,0.56,5.6,8.5,24.6,29.4,31.3
AMENAM BLEND,0.109,38.7,,,Nigeria,,Africa,,,11/01/2021 00:00,https://ts.totalenergies.com/business-customers/crude-assays/,,5.8,0.38,,,,,,,
Amna,0.17,37,,,Libya,,North Africa,,,,,,,0,,,,,,,
ANS,0.96,31.4,,,US,,North America,,,,,,,0,,,,,,,
Arab Extra Light,1.09,40,,,Saudi Arabia,,Middle East,,,,,,,0,,,,,,,
Arab Heavy,2.8,28,,,Saudi Arabia,,Middle East,,,,,,,0,,,,,,,
Arab Light,1.77,33,,,Saudi Arabia,,Middle East,,,,,,,0,,,,,,,
Arab Medium,2.55,31,,,Saudi Arabia,,Middle East,,,,,,,0,,,,,,,
Arab Super Light,0.09,51,,,Saudi Arabia,,Middle East,,,,,,,0,,,,,,,
Ardjuna   ,0.13,35.1,50000,,Indonesia,Ardjuna,Asia-Pacific,,,,,,,0,,,,,,,
ASGARD BLEND,0.182,48.5,,,Norway,,Europe,,,29/08/2019 00:00,https://ts.totalenergies.com/business-customers/crude-assays/,,-35.9,0.04,,,,,,,
