Crude,Sulphur (%),API,Country,Region,Assay Date,Pour Point Â°C,Tan (mgKOH/g),Notes
Terengganu Condensate,0,73.1,,,,-32.8,0.01,https://corporate.exxonmobil.com/Crude-oils/Crude-trading/Assays-available-for-download
Bontang Return Condensate,0.01,72.8,Indonesia,Asia,05/06/1997 00:00,<-50,0.001,https://ts.totalenergies.com/business-customers/crude-assays/
Condensate-Bontang-Return,0.01,72.8,Indonesia,Asia,05/06/1997 00:00,-50,0.001,https://ts.totalenergies.com/wp-content/uploads/
Algerian Condensate - Bejaia,0,68.57,Algeria,Africa,14-Aug-18,-78,0.01,https://www.equinor.com/energy/crude-oil-assays
Condensate Snohvit,0.01,63.7,Norway,Europe,24/08/2018 00:00,-55.1,0.01,https://ts.totalenergies.com/business-customers/crude-assays/
Snohvit Condensate,0.01,63.68,Norway,Europe,24-Aug-18,-55.07,0.01,https://www.equinor.com/energy/crude-oil-assays
North West Shelf Condensate,0,63,Australia,Oceania,05/02/2012 00:00,-69,0.02,https://www.bp.com/en/global/bp-trading-and-shipping/documents-and-downloads/technical-downloads/
Ormen Lange Condensate,0,62.55,Norway,Europe,16-Feb-18,-37.62,0.05,https://www.equinor.com/energy/crude-oil-assays
Sable Island,0,61.1,,,,-117.76,0.009,https://corporate.exxonmobil.com/Crude-oils/Crude-trading/Assays-available-for-download
North West Shelf ,0.01,60, Australia,Asia-Pacific,,,0,
Eagle Ford Condensate,0.05,57.52,USA,North America,,,0,
Gippsland Blend,0.04,55.41,Australia ,Asia-Pacific,,-51.7,0.064,https://corporate.exxonmobil.com/Crude-oils/Crude-trading/Assays-available-for-download
Griffin ,0.03,55,Australia,Asia-Pacific,,,0,
Senipah  ,0.02,53.9,Indonesia,Asia-Pacific,,,0,
Gudrun Blend,0.08,53.68,Norway,Europe,19 mars 2020,-39,0.02,https://www.equinor.com/energy/crude-oil-assays
Gorgon,0.01,52.99,,,,-34.28,0.017,https://corporate.exxonmobil.com/Crude-oils/Crude-trading/Assays-available-for-download
Kutubu Blend,0.02,51.4,New Guinea,Asia-Pacific,,-3.66,0.02,https://corporate.exxonmobil.com/Crude-oils/Crude-trading/Assays-available-for-download
Arab Super Light,0.09,51,Saudi Arabia,Middle East,,,0,
Gudrun Blend,0.07,50.7,Norway,Europe,12/01/2015 00:00,-71.9,0.011,https://ts.totalenergies.com/business-customers/crude-assays/
Condensate Senipah,0.03,50,Indonesia,Asia,01/03/2016 00:00,-36,0.028,https://ts.totalenergies.com/business-customers/crude-assays/
Culzean,0.01,49.2,United Kingdom,Europe,28/05/2020 00:00,5.9,0.02,https://ts.totalenergies.com/business-customers/crude-assays/
Oso Condensate,0.03,49.2,,,,26.6,0.11,https://corporate.exxonmobil.com/Crude-oils/Crude-trading/Assays-available-for-download
Skarv,0.1,49,Norway,Europe,15-Nov-20,-35.6,0.023,https://www.equinor.com/energy/crude-oil-assays
