Crude,Sulphur (%),API,Production (b/d),Conversion Factor (barrels to mt),Country,Location,Region,Terminal,Operator,Notes,Block,Pour Point °C,Tan (mgKOH/g),Butane and Lighter,Lt. Naphtha,Hvy Naphtha,Kerosene,Diesel,Vacuum Gas oil,Vacuum Residue
Agbami,0.04,47.88,270000,7.98,Nigeria,Offshore,West Africa,Agbami Field,Chevron,,216,5,0.07,14.7,19,14.3,15.1,30.1,5.2,1.6
Akpo,0.07,46.7,170000,7.89,Nigeria,Offshore,West Africa,FPSO,Total,Assay Date: 20/10/2020; https://ts.totalenergies.com/business-customers/crude-assays/,246,-9,0.08,3.04,7.86,27.1,13.36,30.17,14.05,4.42
Al Jurf,1.84,30.5,30000,7.19,Libya,FPSO Far Wah,North Africa,,Mabruk,Assay Date: 28/02/2011; https://ts.totalenergies.com/business-customers/crude-assays/,,,0.05,,,,,,,
Al Shaeen,1.9,30.3,260000,,Qatar,Offshore,Persian Gulf,,Total,https://en.wikipedia.org/wiki/Al_Shaheen_Oil_Field,,,0,,,,,,,
Alaska North Slope (ANS),1.04,29.5,50000,,USA,,North America,,,,,,0,,,,,,,
Albacora Leste,0.602,19,110000,,Brazil,Campos Basin,South America,FPSO P 50,Petrobras,,BM-C-33,-33,2.39,0.04,0.56,5.6,8.5,24.6,29.4,31.3
Amenam,0.11,38.7,100000,7.58,Nigeria,Odudu Terminal,West Africa,,Total,Assay Date: 11/01/2021; https://ts.totalenergies.com/business-customers/crude-assays/,246,6,0.38,2.43,6.49,21.39,11.39,31.31,20.48,6.51
Amna,0.17,37,,,Libya,,North Africa,,,,,,0,,,,,,,
Liza,0.58,32,,,Guyana,Offshore,South America,Liza Destiny FPSO,ExxonMobil,https://corporate.exxonmobil.com/crude-oils/crude-trading/liza,,2,0.22,,,,,,,
ANS,0.96,31.4,,,US,,North America,,,,,,0,,,,,,,
Arab Extra Light,1.09,40,,,Saudi Arabia,,Middle East,,,,,,0,,,,,,,
Arab Heavy,2.8,28,,,Saudi Arabia,,Middle East,,,,,,0,,,,,,,
